[2024-12-17T12:09:06.661+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-17T12:09:06.675+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ecobalyse_dag.simulations_data scheduled__2024-12-16T00:00:00+00:00 [queued]>
[2024-12-17T12:09:06.682+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ecobalyse_dag.simulations_data scheduled__2024-12-16T00:00:00+00:00 [queued]>
[2024-12-17T12:09:06.683+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 3
[2024-12-17T12:09:06.694+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): simulations_data> on 2024-12-16 00:00:00+00:00
[2024-12-17T12:09:06.701+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=175) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-17T12:09:06.702+0000] {standard_task_runner.py:72} INFO - Started process 205 to run task
[2024-12-17T12:09:06.704+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'ecobalyse_dag', 'simulations_data', 'scheduled__2024-12-16T00:00:00+00:00', '--job-id', '1465', '--raw', '--subdir', 'DAGS_FOLDER/data_transformations.py', '--cfg-path', '/tmp/tmp1yuoxxyt']
[2024-12-17T12:09:06.705+0000] {standard_task_runner.py:105} INFO - Job 1465: Subtask simulations_data
[2024-12-17T12:09:06.737+0000] {task_command.py:467} INFO - Running <TaskInstance: ecobalyse_dag.simulations_data scheduled__2024-12-16T00:00:00+00:00 [running]> on host 8cc0e2e8fe41
[2024-12-17T12:09:06.800+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='thiernosidybah232@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ecobalyse_dag' AIRFLOW_CTX_TASK_ID='simulations_data' AIRFLOW_CTX_EXECUTION_DATE='2024-12-16T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-12-16T00:00:00+00:00'
[2024-12-17T12:09:06.801+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-12-17T12:09:06.801+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-12-17T12:09:06.801+0000] {logging_mixin.py:190} INFO - Current task name:simulations_data state:running start_date:2024-12-17 12:09:06.676003+00:00
[2024-12-17T12:09:06.802+0000] {logging_mixin.py:190} INFO - Dag name:ecobalyse_dag and current dag run status:running
[2024-12-17T12:09:06.802+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-12-17T12:09:19.571+0000] {logging_mixin.py:190} INFO - Limite atteinte, attente de 47.23 secondes.
[2024-12-17T12:10:20.967+0000] {logging_mixin.py:190} INFO - Limite atteinte, attente de 45.84 secondes.
[2024-12-17T12:11:21.064+0000] {logging_mixin.py:190} INFO - Limite atteinte, attente de 45.74 secondes.
[2024-12-17T12:12:20.330+0000] {logging_mixin.py:190} INFO - Limite atteinte, attente de 46.48 secondes.
[2024-12-17T12:13:21.530+0000] {logging_mixin.py:190} INFO - Limite atteinte, attente de 45.28 secondes.
[2024-12-17T12:14:23.815+0000] {logging_mixin.py:190} INFO - Limite atteinte, attente de 42.99 secondes.
[2024-12-17T12:15:23.384+0000] {logging_mixin.py:190} INFO - Limite atteinte, attente de 43.42 secondes.
[2024-12-17T12:16:21.998+0000] {logging_mixin.py:190} INFO - Limite atteinte, attente de 44.81 secondes.
[2024-12-17T12:17:20.923+0000] {logging_mixin.py:190} INFO - Limite atteinte, attente de 45.89 secondes.
[2024-12-17T12:18:19.656+0000] {logging_mixin.py:190} INFO - Erreur lors de la simulation : HTTPSConnectionPool(host='ecobalyse.beta.gouv.fr', port=443): Max retries exceeded with url: /api/textile/simulator (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x71dd48a88e60>: Failed to establish a new connection: [Errno 113] No route to host'))
[2024-12-17T12:18:19.662+0000] {logging_mixin.py:190} INFO - Erreur lors de la simulation : HTTPSConnectionPool(host='ecobalyse.beta.gouv.fr', port=443): Max retries exceeded with url: /api/textile/simulator (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x71dd48a89d90>: Failed to resolve 'ecobalyse.beta.gouv.fr' ([Errno -3] Temporary failure in name resolution)"))
[2024-12-17T12:18:19.666+0000] {logging_mixin.py:190} INFO - Erreur lors de la simulation : HTTPSConnectionPool(host='ecobalyse.beta.gouv.fr', port=443): Max retries exceeded with url: /api/textile/simulator (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x71dd48a8a7e0>: Failed to resolve 'ecobalyse.beta.gouv.fr' ([Errno -3] Temporary failure in name resolution)"))
